index,id,genres
212,tm105716,"['drama', 'romance']"
213,tm117873,"['romance', 'comedy', 'drama']"
214,tm189773,"['romance', 'drama', 'thriller']"
215,tm7032,"['war', 'drama', 'crime', 'european']"
216,tm58893,"['comedy', 'action', 'crime', 'thriller']"
217,tm340430,"['drama', 'action', 'crime']"
218,tm184326,"['drama', 'crime']"
219,tm110225,"['romance', 'comedy', 'drama']"
220,tm34391,"['comedy', 'documentation']"
221,tm21911,"['comedy', 'music', 'documentation']"
222,tm118438,"['thriller', 'romance', 'drama']"
223,tm62176,"['drama', 'romance']"
224,tm57169,"['comedy', 'documentation']"
225,tm184224,"['comedy', 'documentation']"
226,tm44776,"['drama', 'european', 'romance']"
227,tm104933,"['comedy', 'documentation']"
228,tm203186,"['documentation', 'history']"
229,tm256669,"['action', 'crime', 'drama', 'thriller']"
230,tm117840,['drama']
231,tm334788,"['drama', 'action']"
232,tm110160,"['drama', 'comedy']"
233,tm192301,"['comedy', 'drama', 'romance']"
234,tm110766,['drama']
235,tm118256,"['crime', 'action', 'drama']"
236,tm64729,"['comedy', 'documentation']"
237,tm314602,"['romance', 'action', 'drama']"
238,tm25389,"['drama', 'romance', 'action', 'crime']"
239,tm42397,"['romance', 'action', 'comedy', 'fantasy']"
240,tm210754,"['drama', 'comedy']"
241,tm449775,"['drama', 'action']"
242,tm255589,[]
243,ts4,"['drama', 'thriller', 'crime']"
244,ts9,"['action', 'drama', 'scifi', 'thriller', 'horror']"
245,ts26091,"['crime', 'documentation', 'drama']"
246,ts11,"['drama', 'romance', 'european']"
247,ts21469,"['drama', 'romance']"
248,ts288536,"['reality', 'european']"
249,ts6495,"['thriller', 'crime', 'drama']"
250,ts22337,"['action', 'drama', 'crime', 'thriller', 'comedy']"
251,ts8308,['comedy']
252,ts22011,"['drama', 'family']"
253,ts21465,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']"
254,tm33545,"['comedy', 'drama', 'romance']"
255,tm172683,"['thriller', 'action', 'scifi']"
256,ts17156,['comedy']
257,ts20573,"['comedy', 'european']"
258,ts12724,"['comedy', 'sport']"
259,ts3371,"['scifi', 'family', 'fantasy', 'animation', 'action']"
260,tm92641,"['scifi', 'music', 'thriller', 'action']"
261,tm102740,"['crime', 'action', 'comedy']"
262,tm87484,"['fantasy', 'animation', 'action', 'comedy', 'family', 'drama']"
263,ts20604,"['drama', 'sport']"
264,tm39030,"['thriller', 'action', 'european']"
265,tm78592,"['thriller', 'crime', 'drama']"
266,ts21511,"['scifi', 'animation', 'drama', 'fantasy', 'music', 'comedy', 'family']"
267,ts19036,"['scifi', 'family', 'fantasy', 'animation', 'comedy']"
268,tm116324,"['action', 'comedy', 'documentation']"
269,ts32186,"['action', 'drama', 'thriller', 'animation', 'comedy', 'fantasy', 'family', 'scifi']"
270,ts11313,"['scifi', 'animation', 'crime', 'drama', 'fantasy', 'thriller']"
271,tm34310,"['comedy', 'european']"
272,ts21247,"['scifi', 'drama', 'thriller', 'fantasy', 'horror', 'romance']"
273,tm160815,"['fantasy', 'comedy', 'family']"
274,tm78671,"['thriller', 'crime']"
275,tm89036,['comedy']
276,tm86803,['drama']
277,tm105329,"['thriller', 'documentation', 'crime', 'drama']"
278,ts20305,"['scifi', 'comedy', 'animation', 'action', 'fantasy', 'thriller']"
279,tm35463,"['drama', 'crime']"
280,tm84371,"['thriller', 'action', 'drama']"
281,tm139658,"['drama', 'fantasy', 'romance']"
282,tm79442,"['thriller', 'action']"
