index,id,year
109,tm106462,1996
110,ts20339,1999
111,tm57554,1998
112,ts34435,1998
113,ts20927,1993
114,ts5145,1998
115,tm192405,1997
116,ts21567,2000
117,tm55553,1998
118,tm56574,1998
119,tm192037,1997
120,ts20983,1995
121,ts22193,1994
122,tm191989,1997
123,ts20960,1993
124,tm65686,1998
125,ts11397,1993
126,tm54903,1998
127,tm187187,1993
128,tm191772,1997
129,tm191848,1997
130,tm121879,1992
131,tm44402,1999
132,ts22489,1995
133,ts25252,1998
134,ts21034,2000
135,tm53419,1999
136,tm189764,1993
137,tm9323,1995
138,tm46173,1998
139,tm19673,2000
140,tm24877,2000
141,tm189433,1993
142,ts251477,1991
143,tm1822,1994
144,tm187791,1993
145,tm19494,2000
146,tm10739,1995
147,tm113576,1994
148,tm191387,1997
149,tm6859,1991
150,tm186589,1993
151,tm191374,1997
152,tm8446,1991
153,ts8570,1992
154,tm21596,2000
155,tm48430,1998
156,tm190835,1997
157,tm192199,1997
158,tm184205,1993
159,tm12499,1995
160,tm192431,1997
161,tm56033,1998
162,tm190486,1993
163,tm61103,1999
164,tm117488,1994
165,tm55732,1998
166,tm191431,1997
167,tm17721,2000
168,ts20939,1996
169,ts21693,1994
170,ts22286,1998
171,tm190811,1993
172,tm107659,1996
173,ts21581,2000
174,tm7135,1991
175,tm7073,1991
176,tm63514,1998
177,ts20918,1999
178,tm10811,1995
179,tm188970,1993
180,tm188606,1993
181,tm128073,1992
182,ts18465,1993
183,tm64817,1998
184,tm320211,1994
185,tm189171,1993
186,tm67635,1998
187,ts22080,1999
188,ts22039,1998
189,tm41525,1999
190,tm7951,1991
191,ts21684,1994
192,tm55100,1998
193,ts224786,1991
194,tm204173,1993
195,tm191614,1997
196,tm8859,1995
197,tm424630,1991
198,tm12876,1995
199,tm52083,1998
200,tm9898,1995
201,tm326102,1998
202,tm12482,1995
203,tm128925,1992
204,tm52871,1998
205,ts28516,2000
206,tm62385,1999
207,tm184502,1994
208,tm7810,1991
209,tm27601,2000
210,tm8687,1991
211,tm47530,1998
212,tm105716,1996
213,tm117873,1994
214,tm189773,1993
215,tm7032,1991
216,tm58893,1998
217,tm340430,1993
218,tm184326,1993
219,tm110225,1996
220,tm34391,2000
221,tm21911,1991
222,tm118438,1994
223,tm62176,1999
224,tm57169,1998
225,tm184224,1993
226,tm44776,1999
227,tm104933,1996
228,tm203186,1999
229,tm256669,1993
230,tm117840,1994
231,tm334788,1991
232,tm110160,1996
233,tm192301,1997
234,tm110766,1996
235,tm118256,1994
236,tm64729,1998
237,tm314602,1995
238,tm25389,2000
239,tm42397,1999
240,tm210754,1999
241,tm449775,1991
242,tm255589,1998
243,ts4,2008
244,ts9,2010
245,ts26091,2004
246,ts11,2010
247,ts21469,2005
248,ts288536,2010
249,ts6495,2005
250,ts22337,2003
251,ts8308,2009
252,ts22011,2007
253,ts21465,2005
254,tm33545,2008
255,tm172683,2005
256,ts17156,2003
257,ts20573,2006
258,ts12724,2006
259,ts3371,2005
260,tm92641,2010
261,tm102740,2010
262,tm87484,2010
263,ts20604,2006
264,tm39030,2006
265,tm78592,2007
266,ts21511,2010
267,ts19036,2001
268,tm116324,2002
269,ts32186,2003
270,ts11313,2006
271,tm34310,2001
272,ts21247,2009
273,tm160815,2005
274,tm78671,2007
275,tm89036,2004
276,tm86803,2010
277,tm105329,2002
278,ts20305,2002
279,tm35463,2001
280,tm84371,2007
281,tm139658,2003
282,tm79442,2007
283,tm131038,2009
284,ts2230,2003
285,tm154187,2009
286,tm133767,2003
287,tm88738,2004
288,ts17942,2003
289,tm148270,2003
290,tm93055,2010
291,tm133374,2009
292,tm26897,2008
293,tm109304,2002
294,ts22267,2001
295,tm76066,2007
296,tm90190,2010
297,tm997728,2007
298,tm29737,2008
299,tm84906,2007
300,ts6644,2010
301,tm142086,2003
302,ts22018,2007
303,ts30311,2010
304,tm95252,2010
305,tm136808,2003
306,ts21197,2008
307,tm195620,2001
308,tm109137,2010
309,tm84613,2007
310,tm173551,2005
311,tm94606,2010
312,tm136308,2003
313,tm82985,2004
314,tm145593,2003
315,tm150260,2009
316,ts30313,2010
317,tm119111,2002
318,tm130647,2009
319,tm32919,2006
320,tm23935,2006
321,tm137143,2003
322,tm28905,2006
323,tm44486,2001
324,tm39487,2006
325,tm169949,2005
326,ts35155,2007
327,tm184913,2005
328,tm118637,2002
329,tm58382,2001
330,tm40009,2008
331,ts12787,2006
332,tm154470,2009
333,tm22294,2006
334,tm78067,2007
335,tm148379,2003
336,tm76428,2007
337,tm21467,2006
338,tm46436,2001
339,tm57190,2001
340,tm37546,2006
341,tm30205,2008
342,tm159310,2005
343,tm89592,2004
344,tm167516,2005
345,tm79895,2007
346,tm88045,2010
347,tm111600,2002
348,tm143938,2009
349,tm31187,2008
350,tm141390,2009
351,tm74780,2007
352,tm150214,2003
